ip_address,packet_count,protocol,count
104.18.32.47,244.0,,
13.107.246.45,57.0,,
140.82.114.26,10.0,,
142.250.201.163,6.0,,
142.251.31.188,4.0,,
172.217.218.188,4.0,,
185.125.190.17,16.0,,
185.125.190.18,14.0,,
185.125.190.48,1.0,,
185.125.190.49,1.0,,
188.172.106.19,4.0,,
192.168.1.1,74.0,,
192.168.1.40,423.0,,
192.168.1.62,650.0,,
192.168.1.63,44.0,,
192.168.1.86,9.0,,
20.199.120.151,3.0,,
20.49.150.241,44.0,,
216.58.204.234,155.0,,
216.58.205.42,25.0,,
216.58.209.46,25.0,,
224.0.0.251,17.0,,
3.224.19.30,10.0,,
3.233.158.26,16.0,,
3.3.8.1,64.0,,
34.107.243.93,5.0,,
34.120.208.123,50.0,,
34.36.137.203,61.0,,
35.233.239.65,10.0,,
44.199.25.130,10.0,,
44.202.79.198,132.0,,
52.185.211.133,46.0,,
91.189.91.157,3.0,,
91.189.91.48,5.0,,
91.189.91.49,1.0,,
91.189.91.96,1.0,,
91.189.91.97,6.0,,
91.189.91.98,2.0,,
,,TCP,805.0
,,UDP,321.0
